,No,Provinsi SPPG,Kab./Kota SPPG,Kecamatan SPPG,Kelurahan/Desa SPPG,Alamat SPPG,Nama SPPG
8570,7791.0, JAWA BARAT , KARAWANG , BANYUSARI , CICINDE SELATAN ," Dusun Cicinde Rt 02 Rw 04 No 6, Cicinde Selatan, Kecamatan Banyusari, Kabupaten Karawang, Jawa Barat ", SPPG Karawang Banyusari Cicinde Selatan 
8571,7792.0, JAWA TIMUR , KOTA BATU , BUMIAJI , BULUKERTO ," Jl . Notodiharjo Rt 07 Rw 01 ,Bulukerto, Kecamatan Bumiaji, Kota Batu, Jawa Timur ", SPPG Kota Batu Bumiaji Bulukerto 
8572,7793.0, JAWA BARAT , SUBANG , PURWADADI , BELENDUNG ," Jl. Raya Purwadadi Dusun Sidamukti Rt 06 Rw 02 Desa Belendung, Kecamatan Purwadadi, Kabupaten Subang, Jawa Barat ", SPPG Subang Purwadadi Belendung 
8573,7794.0, SUMATERA UTARA , SIMALUNGUN , GIRSANG SIPANGAN BOLON , SIPANGAN BOLON MEKAR ," Jl. Lintas Sumatra, Perbatasan Parhonasan ", SPPG Simalungun Girsang Sipangan Bolon Parapat 
8574,7795.0, BANTEN , LEBAK , BAYAH , SAWARNA ," Jl. Raya Sawarna Bayah, No. 14 Rt. 001 Rw. 001 Desa Sawarna, Kec. Bayah, Kab. Lebak, Banten ", SPPG Lebak Bayah Sawarna 
8575,7796.0, JAWA TIMUR , MALANG , GONDANGLEGI , GONDANGLEGI KULON ," Jl. Hayam Wuruk No.29, Rt.18, Krajan Satu, Gondanglegi Kulon, Kec. Gondanglegi, Kab. Malang, Jawa Timur ", SPPG Malang Gondanglegi Gondanglegi Kulon 3 
8576,7797.0, JAWA TIMUR , JEMBER , RAMBIPUJI , KALIWINING ," Dusun Bedadung Wetan, Kaliwining, Kec. Rambipuji, Kab. Jember, Jawa Timur ", SPPG Jember Rambipuji Kaliwining 2 
8577,7798.0, JAWA BARAT , CIANJUR , SUKALUYU , PANYUSUHAN , Jl. Pasir Oray RT. 002 RW. 002 , SPPG Cianjur Sukaluyu Panyusuhan 
8578,7799.0, JAWA BARAT , CIANJUR , HAURWANGI , HAURWANGI ," Kampung Haurwangi RT003 RW002 Desa Haurwangi, Kecamatan Haurwangi, Kabupaten Cianjur, Jawa Barat 43280. ", SPPG Cianjur Haurwangi Haurwangi 4 
8579,7800.0, BANTEN , LEBAK , WARUNGGUNUNG , CEMPAKA ," Kampung Pasir Nangka, Cempaka, Kec. Warunggunung, Kab. Lebak, Banten ", SPPG Lebak Warunggunung Cempaka 
