,No,Provinsi SPPG,Kab./Kota SPPG,Kecamatan SPPG,Kelurahan/Desa SPPG,Alamat SPPG,Nama SPPG
29220,26564.0, KALIMANTAN BARAT , SAMBAS , PALOH , TEMAJUK ," Dusun Maludin Rt 007 Rw 003, Desa Temajuk, Kec. Paloh, Kab. Sambas, Kalimantan Barat ", SPPG Sambas Paloh Temajuk 
29221,26565.0, JAWA BARAT , MAJALENGKA , LEMAHSUGIH , CIPASUNG ," Jl. Samboja No 1 Rt 01 Rw 01, Cipasung, Kecamatan Lemahsugih, Kabupaten Majalengka, Jawa Barat ", SPPG Majalengka Lemahsugih Cipasung 
29222,26566.0, ACEH , KOTA BANDA ACEH , MEURAXA , PUNGE UJONG ," Jl. Pendidikan Desa Punge Ujong, Kec. Meuraxa, Kota Banda Aceh, Aceh ", SPPG Kota Banda Aceh Meuraxa Punge Ujong 
29223,26567.0, JAWA BARAT , KOTA BOGOR , BOGOR BARAT , MARGA JAYA ," Jl. Raya Darmaga Km 7, Rt03/ Rw 01, Margajaya, Kec. Bogor Barat, Kota Bogor, Jawa Barat ", SPPG Kota Bogor Bogor Barat Marga Jaya 2 
29224,26568.0, SULAWESI BARAT , MAJENE , BANGGAE , BANGGAE ," Jl. Majen A. Asis Bustam No. 20 Rt. 003.Rw.02, Banggae, Kec. Banggae, Kab. Majene, Sulawesi Barat ", SPPG Majene Banggae Banggae 
29225,26569.0, JAWA TENGAH , KARANGANYAR , JENAWI , SELOROMO ," Prapatan Rt. 02/Rw. 02 Desa Seloromo, Kecamatan Jenawi, Kabupaten Karanganyar, Jawa Tengah ", SPPG Karanganyar Jenawi Seloromo 
29226,26570.0, JAWA BARAT , KOTA BOGOR , BOGOR TIMUR , BARANANGSIANG ," Jl. Binamarga Ii No.8, Rt 04 Rw 08, Baranangsiang, Kecamatan Bogor Timur, Kota Bogor, Jawa Barat ", SPPG Kota Bogor Bogor Timur Baranangsiang 2 
29228,26571.0, SUMATERA UTARA , KOTA MEDAN , MEDAN TIMUR , GLUGUR DARAT I ," Gang VIII No.60, Glugur Darat I, Kecamatan Medan Timur, Kota Medan, Sumatera Utara ", SPPG Kota Medan Medan Timur Glugur Darat II 
29229,26572.0, JAWA TIMUR , GRESIK , BUNGAH , BUNGAH ," Jl. Raya bunga, Rt.03, Rw. 01, ds, bunga, kec. Bunga, kab. Gresik ", SPPG Gresik Bungah Bungah 
29230,26573.0, RIAU , KAMPAR , KAMPAR , TANJUNG BERULAK ," Tanjung Berulak, Kecamatan Kampar, Kabupaten Kampar, Riau ", SPPG Kampar Kampar Tanjung Berulak 
29231,26574.0, JAWA TIMUR , PAMEKASAN , PAKONG , KLOMPANG BARAT ," Dusun Sumber Batas, Klompang Barat, Kec. Pakong, Kab. Pamekasan, Jawa Timur ", SPPG Pamekasan Pakong Klompang Barat 2 
29232,26575.0, KALIMANTAN TIMUR , KUTAI KARTANEGARA , ANGGANA , SUNGAI MERIAM ," Jl. Poros Samarinda Anggana, Kelurahan Sungai Mariam, Kecamatan Anggana, Kabupaten Kutai Kartanegara, Kalimantan Timur ", SPPG Kutai Kartanegara Anggana Sungai Meriam 
29233,26576.0, JAWA TIMUR , NGAWI , NGAWI , GRUDO ," Jl. Ir. Soekarno Ring Road Barat No.09, Ngronggi, Grudo, Kecamatan Ngawi, Kabupaten Ngawi, Jawa Timur  ", SPPG Ngawi Ngawi Grudo 2 
29234,26577.0, RIAU ,  PELALAWAN , PANGKALAN KERINCI , PANGKALAN KERINCI KOTA ," Jl. Raja, Pangkalan Kerinci Kota, Pangkalan Kerinci, Kab. Pelalawan, Riau ", SPPG  Pelalawan Pangkalan Kerinci Pangkalan Kerinci Kota 2 
29235,26578.0, JAWA TIMUR , BANYUWANGI , BANYUWANGI , PANDEREJO ," Jl. Kyai Saleh No. 79, Panderejo, Kec. Banyuwangi, Kab. Banyuwangi, Jawa Timur ", SPPG Banyuwangi Banyuwangi Panderejo 
29236,26579.0, NUSA TENGGARA BARAT , LOMBOK TENGAH , JONGGAT , LABULIA ," Jalan Bypass Bandara Internasional  Lombok, Dusun Tandek, Desa  Labulia, Kecamatan Jonggat,  Kabupaten Lombok Tengah, Provinsi  Nusa Tenggara Barat ", SPPG Lombok Tengah Jonggat Labulia 
29237,26580.0, JAWA TENGAH , JEPARA , PECANGAAN , TROSO ," Jl. Raya Bugel Rt. 01 Rw. 02, Troso, Kec. Pecangaan, Kab. Jepara, Jawa Tengah ", SPPG Jepara Pecangaan Troso 3 
29239,26581.0, ACEH , ACEH TIMUR , PEUREULAK , PASIR PUTIH ," Jl. Pasar Baru Desa Pasir Putih Kecamatan Peureulak, Pasir Putih, Peureulak, Kab. Aceh Timur, Aceh ", SPPG Aceh Timur Peureulak Pasir Putih 
29240,26582.0, DKI JAKARTA , KOTA ADM. JAKARTA TIMUR , MAKASAR , PINANGRANTI ," Jl. Pusdiklat Depnaker, No 99 Rt 08 Rw 05, Pinangranti, Kecamatan Makasar, Kota Adm. Jakarta Timur, Dki Jakarta ", SPPG Kota Adm. Jakarta Timur Makasar Pinangranti  
29241,26583.0, JAWA TIMUR , JEMBER , BANGSALSARI , KARANGSONO ," Desa Karangsono, Kec. Bangsalsari, Kab. Jember, Jawa Timur ", SPPG Jember Bangsalsari Karangsono 
29242,26584.0, SULAWESI SELATAN , SIDENRENG RAPPANG , PANCA RIJANG , RAPPANG ," jl. Ahmad Taufik, RAPPANG, PANCA RIJANG, KAB. SIDENRENG RAPPANG, SULAWESI SELATAN ", SPPG Sidenreng Rappang Panca Rijang Rappang 
29243,26585.0, PAPUA PEGUNUNGAN , LANNY JAYA , PIRIME , WENAM ," Wenam, Kecamatan Pirime, Kabupaten Lanny Jaya, Papua Pegunungan ", SPPG Lanny Jaya Pirime Wenam 
29244,26586.0, JAWA BARAT , BANDUNG , CIMENYAN , MEKARSALUYU ," Jl. Cihalarang Rt 002 Rw 001 Desa Mekarsaluyu, Kec. Cimenyan, Kab. Bandung, Jawa Barat ", SPPG Bandung Cimenyan Mekarsaluyu 2 
29245,26587.0, JAWA TIMUR , BOJONEGORO , KEDUNGADEM , KENDUNG ," KENDUNG	Dusun Kendung Rt 05/ Rw 02 Kec. Kedungadem Kab. Bojonegoro, Kendung, Kedungadem, Kab. Bojonegoro, Jawa Timur ", SPPG Bojonegoro Kedungadem Kendung 
29246,26588.0, BALI , BULELENG , BANJAR , DENCARIK ," Jalan Seririt - Singaraja, Banjar Corot, Desa Dencarik , Kecamatan Banjar, Kabupaten Buleleng, Provinsi Bali ", SPPG Buleleng Banjar Dencarik 
29247,26589.0, JAWA TIMUR , BOJONEGORO , NGASEM , WADANG , DS.WADANG KEC.NGASEM KAB.BOJONEGORO JAWA TIMUR , SPPG Bojonegoro Ngasem Wadang 
29248,26590.0, RIAU , KAMPAR , TAMBANG , SUNGAI PINANG ," Jl. Pekanbaru Bangkinang Km.28 Desa Sungai Pinang Kecamatan Tambang, Kabupaten Kampar, Riau ", SPPG Kampar Tambang Sungai Pinang 3 
29250,26591.0, BALI , GIANYAR , SUKAWATI , CELUK ," Jl. Subak Mungkul Desa Celuk Sukawati, Kab. Gianyar, Bali ", SPPG Gianyar Sukawati Celuk 
29251,26592.0, JAWA TIMUR , MALANG , KARANGPLOSO , DONOWARIH ," `DUSUN KARANGAN RT 06 RW 02 DESA DONOWARIH KEC. KARANGPLOSO KAB. MALANG , DONOWARIH, KARANG PLOSO, KAB. MALANG, JAWA TIMUR` ", SPPG Malang Karangploso Donowarih 1 
29252,26593.0, JAWA BARAT , CIREBON , PABUARAN , SUKADANA ," Jl. Walid Desa, Sukadana, Kec. Pabuaran, Kab. Cirebon, Jawa Barat ", SPPG Cirebon Pabuaran Sukadana 
29253,26594.0, SULAWESI SELATAN , BULUKUMBA , KAJANG , LEMBANNA ," Jl. Poros Lembanna, Lembanna, Kajang, Kab. Bulukumba, Sulawesi Selatan ", SPPG Bulukumba Kajang Lembanna 
29254,26595.0, JAWA BARAT , KOTA BANDUNG , CICENDO , PASIRKALIKI ," Jl. Sumanta Nomor 7, Pasir Kaliki, Cicendo, Kota Bandung, Provinsi Jawa Barat ", SPPG Kota Bandung Cicendo Pasirkaliki 2 
29255,26596.0, KALIMANTAN BARAT , KOTA PONTIANAK , PONTIANAK UTARA , SIANTAN HILIR ," Jl. Khatulistiwa No.4, Siantan Hilir, Kec. Pontianak Utara, Kota Pontianak, Kalimantan Barat ", SPPG Kota Pontianak Pontianak Utara Siantan Hilir 4 
29256,26597.0, JAWA TIMUR , SIDOARJO , TAMAN , KEDUNGTURI ," Jl. Kedung Turi No 17, Rt Rw. 01 01, Kelurahan/Desa Kedungturi, Kec. Taman, Kab. Sidoarjo, Jawa Timur ", SPPG Sidoarjo Taman Kedungturi 
29257,26598.0, NUSA TENGGARA BARAT , KOTA MATARAM , SELAPARANG , MONJOK ," Jl. Ade Irma Suryani Gang Panda IV No.1 Monjok, Kec. Selaparang, Kota Mataram, NTB ", SPPG Kota Mataram Selaparang Monjok 
29258,26599.0, JAWA BARAT , CIAMIS , CISAGA , KEPEL ," RT.023 RW.006, Desa Kepel, Kecamatan Cisaga, Kabupaten Ciamis ", SPPG Ciamis Cisaga Kepel 
29259,26600.0, JAWA BARAT , CIANJUR , BOJONGPICUNG , JATI ," Kp. Kaum RT/RW 003/008, Desa Jati, Kec. Bojongpicung, Kab. Cianjur, PROV. Jawa Barat ", SPPG Cianjur Bojongpicung Jati 
29261,26601.0, SUMATERA UTARA , LABUHANBATU SELATAN , SILANGKITANG , AEK GOTI ," Desa Aek Goti, Kec. Silangkitang, Kab. Labuhanbatu Selatan, Sumatera Utara ", SPPG Labuhanbatu Selatan Silangkitang Aek Goti 
29262,26602.0, JAWA BARAT , CIREBON , GUNUNG JATI , BUYUT ," Jl. Celancang Plered Blok Tegeret, Buyut, Kecamatan Gunung Jati, Kabupaten Cirebon, Jawa Barat ", SPPG Cirebon Gunung Jati Buyut 
29263,26603.0, BANTEN , SERANG , WARINGINKURUNG , WARINGINKURUNG ," Kampung Tubui, Desa Waringinkurung, Kec. Waringinkurung, Kab. Serang, Banten ", SPPG Serang Waringinkurung Waringinkurung 2 
29264,26604.0, JAWA BARAT , SUBANG , JALANCAGAK , BUNIHAYU ," Kampung Bunihayu Rt.17/04 Desa Bunihayu, Kecamatan Jl.cagak, Kabupaten Subang, Jawa Barat ", SPPG Subang Jalancagak Bunihayu 2 
29265,26605.0, JAWA TIMUR , SUMENEP , SAPEKEN , SAPEKEN ," Desa Sapeken, Kecamatan Sapeken, Kabupaten Sumenep, Jawa Timur ", SPPG Sumenep Sapeken Sapeken 1 
29266,26606.0, NUSA TENGGARA BARAT , LOMBOK TIMUR , PRINGGABAYA , POHGADING ," Jl. Pantai Muara Harapan Pohgading, Kec. Pringgabaya, Kab. Lombok Timur, Nusa Tenggara Barat ", SPPG Lombok Timur Pringgabaya Pohgading 3 
29267,26607.0, JAWA TENGAH , PATI , GEMBONG , KEDUNGBULUS , KEDUNGBULUS GEMBONG PATI , SPPG Pati Gembong Kedungbulus 
29268,26608.0, NUSA TENGGARA BARAT , LOMBOK TIMUR , AIKMEL , BAGIK NYAKA SANTRI ," Gang Darussalam, Dusun Bagik Nyaka Barat, Desa Bagik Nyaka Santri, Kec. Aikmel, Kab. Lombok Timur, Nusa Tenggara Barat ", SPPG Lombok Timur Aikmel Bagik Nyaka Santri 
29269,26609.0, ACEH , ACEH TAMIANG , KEJURUAN MUDA , BUKIT RATA ," Jl. Medan - B.Aceh, Desa Bukit Rata, Kec. Kejuruan Muda, Kab. Aceh Tamiang ", SPPG Aceh Tamiang Kejuruan Muda Bukit Rata 
29270,26610.0, LAMPUNG , MESUJI , SIMPANG PEMATANG , SIMPANG PEMATANG ," Jl. Lintas Timur Sumatera No. 99, Kec. Simpang Pematang, Kab. Mesuji, Lampung ", SPPG Mesuji Simpang Pematang Simpang Pematang 2 
29272,26611.0, KALIMANTAN UTARA , NUNUKAN , SEBATIK TIMUR , TANJUNG ARU ," JL. IMAM BONJOL, DESA TANJUNG ARU, KEC. SEBATIK TIMUR, KAB. NUNUKAN ", SPPG Nunukan Sebatik Timur Tanjung Aru 
29273,26612.0, SUMATERA UTARA , KOTA BINJAI , BINJAI KOTA , BERNGAM ," Jl. Gugus Depan, Berngam, Kec. Binjai Kota, Kota Binjai, Sumatera Utara ", SPPG Kota Binjai Binjai Kota Berngam 2 
29274,26613.0, JAWA TENGAH , KUDUS , KOTA KUDUS , DEMANGAN ," Jl. Dr. Wahidin No.99, Rt.001/Rw.002, Demangan, Kecamatan Kota Kudus, Kabupaten Kudus, Jawa Tengah ", SPPG Kudus Kota Kudus Demangan 
29275,26614.0, KALIMANTAN TIMUR , KUTAI TIMUR , KOMBENG , MAKMUR JAYA ," Jl. Poros Desa Makmur Jaya Rawa Indah, Rt 18 Rw 1, Makmur Jaya, Kec. Kombeng, Kab. Kutai Timur, Kalimantan Timur ", SPPG Kutai Timur Kombeng Makmur Jaya 
29276,26615.0, JAWA TENGAH , DEMAK , WONOSALAM , JOGOLOYO ," Desa Jogoloyo RT002/RW002, Kec. Wonosalam, Kab. Demak, Jawa Tengah ", SPPG Demak Wonosalam Jogoloyo 
29277,26616.0, JAWA TIMUR , PASURUAN , LEKOK , ROWOGEMPOL ," Jl. Raya Dusun. Rekesan, Desa Rowogempol, Kec. Lekok, Kab. Pasuruan, Jawa Timur ", SPPG Pasuruan Lekok Rowogempol 2 
29278,26617.0, SUMATERA UTARA , KOTA GUNUNGSITOLI , GUNUNGSITOLI ALO'OA , IRAONOLASE ," Desa Iraono Lase, Kecamatan Gunungsitoli Alo`Oa, Kota Gunungsitoli, Sumatera Utara ", SPPG Kota Gunungsitoli Gunungsitoli Alo`oa Iraonolase 
29279,26618.0, SUMATERA SELATAN , OGAN KOMERING ILIR , SUNGAI MENANG , SIDOMULYO , Dusun V RT/RW 012/000 Desa Sidomulyo Kec.Sungai Menang. Kab.Ogan Komering Ilir , SPPG OKI Sungai Menang Sidomulyo 
29280,26619.0, JAWA TENGAH , KOTA MAGELANG , MAGELANG UTARA , KRAMAT SELATAN ," JI. Tobong Sari No.18, Potrobangsan, Kec. Magelang Utara, Kota Magelang ", SPPG Kota Magelang Magelang Utara Kramat Selatan 2 
29281,26620.0, JAWA TENGAH , KARANGANYAR , KARANGANYAR , TEGALGEDE ," Jl. Lawu No. 209, Tegalasri, Rt.03, Rw.03, Kel. Tegalgede, Kec. Karanganyar, Kab. Karanganyar, Jawa Tengah ", SPPG Karanganyar Karanganyar Tegalgede 2 
29283,26621.0, SUMATERA SELATAN , OGAN ILIR , MUARA KUANG , RAMAKASIH , Dusun II Desa Rama Kasih Kecamatan Muara Kuang Kabupaten Ogan Ilir Provinsi Sumatera Selatan , SPPG Ogan Ilir Muara Kuang Ramakasih 
29284,26622.0, JAWA BARAT , KUNINGAN , KUNINGAN , CIRENDANG , Jl. Raya Cirendang Gunung Keling Kecamatan Kuningan Kabupaten Kuningan Provinsi Jawa Barat , SPPG Kuningan Kuningan Cirendang 
29285,26623.0, JAWA TENGAH , REMBANG , SALE , SALE ," Gang Krajan, Desa Sale, Kec. Sale, Kab. Rembang, Jawa Tengah ", SPPG Rembang Sale Sale 2 
29286,26624.0, SULAWESI SELATAN , PINRANG , LEMBANG , TADOKKONG ," Jl. Poros Pinrang Polman Km. 38 Tuppu, Kelurahan Tadokkong, Kecamatan Lembang, Kabupaten Pinrang, Provinsi Sulawesi Selatan ", SPPG Pinrang Lembang Tadokkong 
29287,26625.0, JAWA TENGAH , KEBUMEN , KLIRONG , BUMIHARJO ," Desa Bumiharjo, Kecamatan Klirong, Kabupaten Kebumen, Jawa Tengah ", SPPG Kebumen Klirong Bumiharjo 
29288,26626.0, LAMPUNG , LAMPUNG TENGAH , SENDANG AGUNG , SENDANG MULYO ," Jl. Raya Sendang Mulyo, Sendang Rejo, Kec. Sendang Agung, Kabupaten Lampung Tengah, Lampung  ", SPPG Lampung Tengah Sendang Agung Sendang Rejo 
29289,26627.0, JAWA TIMUR , NGANJUK , PRAMBON , GONDANGLEGI ," Jl. Raya Prambon, Kelurahan Gondanglegi, Kecamatan Prambon, Kabupaten Nganjuk, Jawa Timur ", SPPG Nganjuk Prambon Gondanglegi 2 
29290,26628.0, JAWA TENGAH , BANYUMAS , PURWOKERTO SELATAN , KARANGPUCUNG ," Jl. Prof. M Yamin Vii, Karangklesem, Karangpucung, Kecamatan Purwokerto Selatan, Kabupaten Banyumas, Jawa Tengah ", SPPG Banyumas Purwokerto Selatan Karangpucung 3 
29291,26629.0, NUSA TENGGARA BARAT , LOMBOK TENGAH , PRAYA , PERAPEN ," Serengat Utara, Jl. Seroja Nomor 11, Perapen, Kec. Praya, Kab. Lombok Tengah, Nusa Tenggara Barat ", SPPG Lombok Tengah Praya Perapen 3 
29292,26630.0, SUMATERA UTARA , SIMALUNGUN , RAYA , BAHAPAL RAYA ," Jl. Saribudolog,Hapoltakan, Kecamatan Raya, Kabupaten Simalungun, Sumatera Utara ", SPPG Simalungun Raya Bahapal Raya 2 
29294,26631.0, JAWA BARAT , KOTA BANDUNG , CIBEUNYING KIDUL , CIKUTRA ," Jl. Sukasenang V Nomor 20 004/015, Cikutra, Kecamatan Cibeunying Kidul, Kota Bandung, Jawa Barat ", SPPG Kota Bandung Cibeunying Kidul Cikutra 2 
29295,26632.0, KALIMANTAN TENGAH , LAMANDAU , BULIK , NANGA BULIK ," Jl. Ahmad Yani, Nanga Bulik, Kec. Bulik, Kab. Lamandau, Kalimantan Tengah ", SPPG Lamandau Bulik Nanga Bulik 
29296,26633.0, JAWA BARAT , KOTA BEKASI , BEKASI SELATAN , PEKAYONJAYA , Taman Century Jl. Mimosa Raya No.1 Blok D , SPPG Kota Bekasi Bekasi Selatan Pekayonjaya 1 
29297,26634.0, JAWA BARAT , SUKABUMI , CICANTAYAN , CIMAHI , Jl. Babakan Tipar RT 36/02 Desa Cimahi , SPPG Sukabumi Cicantayan Cimahi 
29298,26635.0, JAWA BARAT , BANDUNG BARAT , CIKALONGWETAN , PUTERAN ," Kampung Sukamulya, Puteran, Kec. Cikalongwetan, Kab. Bandung Barat, Jawa Barat ", SPPG Bandung Barat Cikalongwetan Puteran 
29299,26636.0, SUMATERA UTARA , BATU BARA , MEDANG DERAS , MEDANG ," Desa Medang, Kecamatan Medang Deras, Kabupaten Batu Bara, Sumatera Utara ", SPPG Batu Bara Medang Deras Medang 
29300,26637.0, BANTEN , KOTA TANGERANG , CILEDUG , SUDIMARA JAYA ," Jl. Hos Cokroaminoto No 11 Rt. 007/001, Sudimara Jaya, Kec. Ciledug, Kota Tangerang, Banten ", SPPG Kota Tangerang Ciledug Sudimara Jaya 2 
29301,26638.0, JAWA BARAT , BANDUNG , PANGALENGAN , WARNASARI ," Kampung Ciawitali RT. 001/RW. 008, Desa Warnasari, Kecamatan Pangalengan, Kabupaten Bandung, Provinsi Jawa Barat, Kode Pos 40378 ", SPPG Bandung Pangalengan Warnasari 
29302,26639.0, JAWA TENGAH , JEPARA , JEPARA , BANDENGAN ," Bandengan Rt/Rw 020/006, Kecamatan Jepara, Kab. Jepara Jawa Tengah ", SPPG Jepara Jepara Bandengan 1 
29303,26640.0, JAWA TIMUR , KOTA MALANG , KEDUNGKANDANG , SAWOJAJAR ," Jl. Tondano Raya No.F5/B17, Desa/Kelurahan Sawojajar, Kecamatan Kedungkandang, Kota Malang, Jawa Timur ", SPPG Kota Malang Kedungkandang Sawojajar 4 
29305,26641.0, LAMPUNG , TANGGAMUS , SUMBEREJO , ARGOMULYO ," Jl. Raya Pasar Sumberejo, Desa. Argomulyo, Rt.002/001 Kecamatan. Sumberejo, Kab. Tanggamus Lampung ", SPPG Tanggamus Sumberejo Argomulyo 
29306,26642.0, JAWA TIMUR , SIDOARJO , SEDATI , SEMAMPIR ," Jl. Pesawon Rt 08 Rw 04 No. 71, Semampir, Kec. Sedati, Kab. Sidoarjo, Jawa Timur ", SPPG Sidoarjo Sedati Semampir 
29307,26643.0, SUMATERA SELATAN , OGAN KOMERING ILIR , MESUJI RAYA , BUMI MAKMUR ," Desa Bumi Makmur, Kec. Mesuji Raya, Kabupaten Ogan Komering Ilir, Sumatera Selatan ", SPPG OKI Mesuji Raya Bumi Makmur 
29308,26644.0, JAWA TENGAH , KENDAL , PAGERUYUNG , PUCAKWANGI ," Dusun Ngepal, Pucakwangi, Kecamatan Pagerruyung, Kabupaten Kendal, Jawa Tengah  ", SPPG Kendal Pageruyung Pucakwangi 
29309,26645.0, JAWA TENGAH , PURBALINGGA , BOJONGSARI , BOJONGSARI ," Jl. Raya Masjid Negara, Bojongsari, Kec. Bojongsari, Kab. Purbalingga, Jawa Tengah ", SPPG Purbalingga Bojongsari Bojongsari 2 
29310,26646.0, JAWA TENGAH , KOTA SURAKARTA , PASAR KLIWON , SEMANGGI ," Jl. Kyai Mojo, Semanggi, Kec. Pasar Kliwon, Kota Surakarta, Jawa Tengah ", SPPG Kota Surakarta Pasar Kliwon Semanggi 5 
29311,26647.0, KALIMANTAN BARAT , KUBU RAYA , SUNGAI KAKAP , PUNGGUR BESAR , Jl. Perdana RT 009 RW 005 , SPPG Kubu Raya Sungai Kakap Punggur Besar 1 
29312,26648.0, JAWA BARAT , KARAWANG , CIAMPEL , PARUNGMULYA ," Perum Griya Indah  Blok B1 No 51 Rt.09 Rw.02, Parungmulya, Ciampel, Kab. Karawang, Jawa Barat ", SPPG Karawang Ciampel Parungmulya 
29313,26649.0, JAMBI , KOTA JAMBI , JAMBI SELATAN , PASIR PUTIH ," Jalan Abdul Chatab No. 65, Kelurahan Pasir Putih, Kecamatan Jambi Selatan, Kota Jambi, Provinsi Jambi ", SPPG Kota Jambi Jambi Selatan Pasir Putih 3 
29314,26650.0, JAWA TIMUR , MALANG , DAU , SELOREJO ," Desa Selorejo, Kecamatan Dau, Kabupaten Malang, Jawa Timur ", SPPG Malang Dau Selorejo 
29316,26651.0, NUSA TENGGARA BARAT , LOMBOK TENGAH , JANAPRIA , SABA ," Jl. Raya Pendem, Saba, Kec. Janapria, Kab. Lombok Tengah, Nusa Tenggara Barat ", SPPG Lombok Tengah Janapria Saba 
29317,26652.0, JAWA TIMUR , PAMEKASAN , KADUR , PAMOROH ," Dusun Orai Desa Pamoroh Kec. Kadur, Kab. Pamekasan, Jawa Timur ", SPPG Pamekasan Kadur Pamoroh 3 
29318,26653.0, JAWA TIMUR , KEDIRI , PLOSOKLATEN , JARAK ," Sagi, Jarak, Kecamatan Plosoklaten, Kabupaten Kediri, Jawa Timur ", SPPG Kediri Plosoklaten Jarak 
29319,26654.0, SUMATERA UTARA , SIMALUNGUN , UJUNG PADANG , TELUK LAPIAN ," Jl. Sidosemi, Teluk Lapian, Kec. Ujung Padang, Kab. Simalungun, Sumatera Utara ", SPPG Simalungun Ujung Padang Teluk Lapian 
29320,26655.0, LAMPUNG , LAMPUNG SELATAN , CANDIPURO , WAY GELAM ," Jl. Abiyasa, Dusun III Rt 06, Desa/Kelurahan Way Gelam, Kec. Candipuro, Kab. Lampung Selatan, Lampung ", SPPG Lampung Selatan Candipuro Way Gelam 
29321,26656.0, LAMPUNG , LAMPUNG SELATAN , PALAS , SUKAMULYA ," Jl. Kamboja Dusun 05 Kuningan Desa Suka Mulya Kec. Palas Kab. Lampung Selatan, Lampung ", SPPG Lampung Selatan Palas Sukamulya 
29322,26657.0, JAWA TENGAH , SEMARANG , UNGARAN BARAT , KEJI ," Dusun Suruhan Rt 01 Rw 02 Desa Keji, Keji, Kec. Ungaran Barat, Kab. Semarang, Jawa Tengah ", SPPG Semarang Ungaran Barat Keji 
29323,26658.0, KALIMANTAN SELATAN , TAPIN , TAPIN SELATAN , TAMBARANGAN ," Jl. Ahmad Yani Km 105, Tambarangan, Kecamatan Tapin Selatan, Kabupaten Tapin, Kalimantan Selatan ", SPPG Tapin Tapin Selatan Tambarangan 2 
29324,26659.0, JAWA BARAT , PURWAKARTA , PURWAKARTA , CISEUREUH ," Griya Hegarmanah No. 21, RT. 004 RW. 002, Kelurahan Ciseureuh, Kecamatan Purwakarta, Kabupaten Purwakarta, Provinsi Jawa Barat ", SPPG Purwakarta Purwakarta Ciseureuh 2 
29325,26660.0, JAWA BARAT , BOGOR , CILEUNGSI , GANDOANG ," Kampung Pasir Pari Rt 004 Rw 011, Gandoang, Kec. Cileungsi, Kab. Bogor, Jawa Barat ", SPPG Bogor Cileungsi Gandoang 3 
29327,26661.0, JAWA BARAT , PURWAKARTA , PASAWAHAN , SAWAHKULON ," Kampung Pengkolan Rt 01 Rw 01 Desa Sawahkulon, Kecamatan Pasawahan, Kabupaten Purwakarta, Jawa Barat ", SPPG Purwakarta Pasawahan Sawahkulon 
29328,26662.0, JAWA BARAT , KOTA BOGOR , BOGOR BARAT , PASIR KUDA ," Jl. Jabaru 2 No 13 Kel. Pasirkuda, Kec. Bogor Barat, Kota Bogor, Jawa Barat ", SPPG Kota Bogor Bogor Barat Pasir Kuda 3 
29329,26663.0, KALIMANTAN BARAT , KETAPANG , KENDAWANGAN , KENDAWANGAN KIRI ," Jln. Karya Bersama Rt.002 Rw.001 Dusun Sukadamai Desa Kendawangan kiri, kecamatan Kendawangan Kabupaten Ketapang, Kalimantan Barat ", SPPG Ketapang Kendawangan Kendawangan Kiri 
29330,26664.0, P A P U A , BIAK NUMFOR , SAMOFA , BRAMBAKEN ," Jl. Sungai Musi Depan Tkit Permata Insani, Brambaken, Kec. Samofa, Kab. Biak Numfor, Papua ", SPPG Biak Numfor Samofa Brambaken 3 
29331,26665.0, RIAU , KOTA PEKANBARU , LIMA PULUH , RINTIS ," Jl. Sultan Syarif Qasyim No 131, Kota Tinggi, Kecamatan Lima Puluh, Kota Pekanbaru, Riau ", SPPG Kota Pekanbaru Lima Puluh Rintis 2 
29332,26666.0, JAWA TIMUR , LUMAJANG , TEMPEH , TEMPEH TENGAH ," Desa Tempeh Tengah Kec. Tempeh Kab. Lumajang, Jawa Timur ", SPPG Lumajang Tempeh Tempeh Tengah 
29333,26667.0, BANTEN , PANDEGLANG , CIGEULIS , KATUMBIRI ," Kampung Babakan Tengah Rt 002 Rw 002, Kel. Katumbiri, Kec. Cigeulis, Kab. Pandeglang, Banten ", SPPG Pandeglang Cigeulis Katumbiri 
29334,26668.0, KEPULAUAN BANGKA BELITUNG , KOTA PANGKAL PINANG , RANGKUI , MASJID JAMIK ," Jl. A. Yani No.6, RT/RW 001/001 Masjid Jamik, Kec. Rangkui, Kota Pangkal Pinang, Kepulauan Bangka Belitung 33132 ", SPPG Kota Pangkal Pinang Rangkui Masjid Jamik 
29335,26669.0, JAWA BARAT , GARUT , KARANGPAWITAN , CIMURAH ," Jl. Cimurah Desa Cimurah Kecamatan Karangpawitan, Kabupaten Garut, Jawa Barat ", SPPG Garut Karangpawitan Cimurah 4 
29336,26670.0, KEPULAUAN RIAU , KARIMUN , MERAL , BARAN TIMUR ," Komp. Graha Rap, Jl. Raja Oesman Baran 1 (Depan SMA 2) RT 004 RW 002 Kelurahan Baran Timur, Kecamatan Meral, Kabupaten Karimun, Kepri ", SPPG Karimun Meral Baran Timur 
29338,26671.0, JAWA TENGAH , KOTA SALATIGA , ARGOMULYO , TEGALREJO ," Dusun Delik, Desa Tegalrejo,Kec Argomulyo Kota Salatiga ", SPPG Kota Salatiga Argomulyo Tegalrejo 
29339,26672.0, JAWA BARAT , BANDUNG , ARJASARI , MEKARJAYA ," Kampung Cidarangdan Rt. 01 Rw. 01 Desa Mekarjaya, Kecamatan Arjasari, Kabupaten Bandung, Jawa Barat ", SPPG Bandung Arjasari Mekarjaya 
